Agents: 1, Dirt: 12, Obstacles: 1, Steps: 93, Total Movements: 93
Agents: 1, Dirt: 12, Obstacles: 2, Steps: 137, Total Movements: 137
Agents: 1, Dirt: 12, Obstacles: 3, Steps: 98, Total Movements: 98
Agents: 1, Dirt: 12, Obstacles: 4, Steps: 98, Total Movements: 98
Agents: 1, Dirt: 12, Obstacles: 5, Steps: 80, Total Movements: 80
Agents: 1, Dirt: 12, Obstacles: 6, Steps: 76, Total Movements: 76
Agents: 1, Dirt: 12, Obstacles: 7, Steps: 84, Total Movements: 84
Agents: 1, Dirt: 12, Obstacles: 8, Steps: 74, Total Movements: 74
Agents: 1, Dirt: 12, Obstacles: 9, Steps: 178, Total Movements: 178
Agents: 1, Dirt: 12, Obstacles: 10, Steps: 80, Total Movements: 80
Agents: 1, Dirt: 12, Obstacles: 11, Steps: 226, Total Movements: 226
Agents: 1, Dirt: 12, Obstacles: 12, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 12, Obstacles: 13, Steps: 88, Total Movements: 88
Agents: 1, Dirt: 12, Obstacles: 14, Steps: 164, Total Movements: 164
Agents: 1, Dirt: 12, Obstacles: 15, Steps: 128, Total Movements: 128
Agents: 1, Dirt: 12, Obstacles: 16, Steps: 169, Total Movements: 169
Agents: 1, Dirt: 12, Obstacles: 17, Steps: 142, Total Movements: 142
Agents: 1, Dirt: 12, Obstacles: 18, Steps: 61, Total Movements: 61
Agents: 1, Dirt: 12, Obstacles: 19, Steps: 92, Total Movements: 92
Agents: 1, Dirt: 12, Obstacles: 20, Steps: 134, Total Movements: 134
Agents: 1, Dirt: 13, Obstacles: 1, Steps: 93, Total Movements: 93
Agents: 1, Dirt: 13, Obstacles: 2, Steps: 101, Total Movements: 101
Agents: 1, Dirt: 13, Obstacles: 3, Steps: 89, Total Movements: 89
Agents: 1, Dirt: 13, Obstacles: 4, Steps: 98, Total Movements: 98
Agents: 1, Dirt: 13, Obstacles: 5, Steps: 81, Total Movements: 81
Agents: 1, Dirt: 13, Obstacles: 6, Steps: 92, Total Movements: 92
Agents: 1, Dirt: 13, Obstacles: 7, Steps: 56, Total Movements: 56
Agents: 1, Dirt: 13, Obstacles: 8, Steps: 91, Total Movements: 91
Agents: 1, Dirt: 13, Obstacles: 9, Steps: 103, Total Movements: 103
Agents: 1, Dirt: 13, Obstacles: 10, Steps: 250, Total Movements: 250
Agents: 1, Dirt: 13, Obstacles: 11, Steps: 132, Total Movements: 132
Agents: 1, Dirt: 13, Obstacles: 12, Steps: 67, Total Movements: 67
Agents: 1, Dirt: 13, Obstacles: 13, Steps: 112, Total Movements: 112
Agents: 1, Dirt: 13, Obstacles: 14, Steps: 162, Total Movements: 162
Agents: 1, Dirt: 13, Obstacles: 15, Steps: 76, Total Movements: 76
Agents: 1, Dirt: 13, Obstacles: 16, Steps: 111, Total Movements: 111
Agents: 1, Dirt: 13, Obstacles: 17, Steps: 182, Total Movements: 182
Agents: 1, Dirt: 13, Obstacles: 18, Steps: 75, Total Movements: 75
Agents: 1, Dirt: 13, Obstacles: 19, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 13, Obstacles: 20, Steps: 70, Total Movements: 70
Agents: 1, Dirt: 14, Obstacles: 1, Steps: 96, Total Movements: 96
Agents: 1, Dirt: 14, Obstacles: 2, Steps: 93, Total Movements: 93
Agents: 1, Dirt: 14, Obstacles: 3, Steps: 123, Total Movements: 123
Agents: 1, Dirt: 14, Obstacles: 4, Steps: 74, Total Movements: 74
Agents: 1, Dirt: 14, Obstacles: 5, Steps: 111, Total Movements: 111
Agents: 1, Dirt: 14, Obstacles: 6, Steps: 80, Total Movements: 80
Agents: 1, Dirt: 14, Obstacles: 7, Steps: 117, Total Movements: 117
Agents: 1, Dirt: 14, Obstacles: 8, Steps: 105, Total Movements: 105
Agents: 1, Dirt: 14, Obstacles: 9, Steps: 86, Total Movements: 86
Agents: 1, Dirt: 14, Obstacles: 10, Steps: 89, Total Movements: 89
Agents: 1, Dirt: 14, Obstacles: 11, Steps: 114, Total Movements: 114
Agents: 1, Dirt: 14, Obstacles: 12, Steps: 108, Total Movements: 108
Agents: 1, Dirt: 14, Obstacles: 13, Steps: 85, Total Movements: 85
Agents: 1, Dirt: 14, Obstacles: 14, Steps: 206, Total Movements: 206
Agents: 1, Dirt: 14, Obstacles: 15, Steps: 112, Total Movements: 112
Agents: 1, Dirt: 14, Obstacles: 16, Steps: 110, Total Movements: 110
Agents: 1, Dirt: 14, Obstacles: 17, Steps: 217, Total Movements: 217
Agents: 1, Dirt: 14, Obstacles: 18, Steps: 87, Total Movements: 87
Agents: 1, Dirt: 14, Obstacles: 19, Steps: 149, Total Movements: 149
Agents: 1, Dirt: 14, Obstacles: 20, Steps: 162, Total Movements: 162
Agents: 1, Dirt: 15, Obstacles: 1, Steps: 99, Total Movements: 99
Agents: 1, Dirt: 15, Obstacles: 2, Steps: 78, Total Movements: 78
Agents: 1, Dirt: 15, Obstacles: 3, Steps: 87, Total Movements: 87
Agents: 1, Dirt: 15, Obstacles: 4, Steps: 91, Total Movements: 91
Agents: 1, Dirt: 15, Obstacles: 5, Steps: 101, Total Movements: 101
Agents: 1, Dirt: 15, Obstacles: 6, Steps: 97, Total Movements: 97
Agents: 1, Dirt: 15, Obstacles: 7, Steps: 98, Total Movements: 98
Agents: 1, Dirt: 15, Obstacles: 8, Steps: 93, Total Movements: 93
Agents: 1, Dirt: 15, Obstacles: 9, Steps: 80, Total Movements: 80
Agents: 1, Dirt: 15, Obstacles: 10, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 15, Obstacles: 11, Steps: 87, Total Movements: 87
Agents: 1, Dirt: 15, Obstacles: 12, Steps: 104, Total Movements: 104
Agents: 1, Dirt: 15, Obstacles: 13, Steps: 250, Total Movements: 250
Agents: 1, Dirt: 15, Obstacles: 14, Steps: 74, Total Movements: 74
Agents: 1, Dirt: 15, Obstacles: 15, Steps: 139, Total Movements: 139
Agents: 1, Dirt: 15, Obstacles: 16, Steps: 154, Total Movements: 154
Agents: 1, Dirt: 15, Obstacles: 17, Steps: 144, Total Movements: 144
Agents: 1, Dirt: 15, Obstacles: 18, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 15, Obstacles: 19, Steps: 97, Total Movements: 97
Agents: 1, Dirt: 15, Obstacles: 20, Steps: 146, Total Movements: 146
Agents: 1, Dirt: 16, Obstacles: 1, Steps: 108, Total Movements: 108
Agents: 1, Dirt: 16, Obstacles: 2, Steps: 66, Total Movements: 66
Agents: 1, Dirt: 16, Obstacles: 3, Steps: 92, Total Movements: 92
Agents: 1, Dirt: 16, Obstacles: 4, Steps: 154, Total Movements: 154
Agents: 1, Dirt: 16, Obstacles: 5, Steps: 105, Total Movements: 105
Agents: 1, Dirt: 16, Obstacles: 6, Steps: 129, Total Movements: 129
Agents: 1, Dirt: 16, Obstacles: 7, Steps: 97, Total Movements: 97
Agents: 1, Dirt: 16, Obstacles: 8, Steps: 77, Total Movements: 77
Agents: 1, Dirt: 16, Obstacles: 9, Steps: 250, Total Movements: 250
Agents: 1, Dirt: 16, Obstacles: 10, Steps: 138, Total Movements: 138
Agents: 1, Dirt: 16, Obstacles: 11, Steps: 65, Total Movements: 65
Agents: 1, Dirt: 16, Obstacles: 12, Steps: 131, Total Movements: 131
Agents: 1, Dirt: 16, Obstacles: 13, Steps: 94, Total Movements: 94
Agents: 1, Dirt: 16, Obstacles: 14, Steps: 90, Total Movements: 90
Agents: 1, Dirt: 16, Obstacles: 15, Steps: 57, Total Movements: 57
Agents: 1, Dirt: 16, Obstacles: 16, Steps: 96, Total Movements: 96
Agents: 1, Dirt: 16, Obstacles: 17, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 16, Obstacles: 18, Steps: 86, Total Movements: 86
Agents: 1, Dirt: 16, Obstacles: 19, Steps: 76, Total Movements: 76
Agents: 1, Dirt: 16, Obstacles: 20, Steps: 92, Total Movements: 92
Agents: 1, Dirt: 17, Obstacles: 1, Steps: 97, Total Movements: 97
Agents: 1, Dirt: 17, Obstacles: 2, Steps: 173, Total Movements: 173
Agents: 1, Dirt: 17, Obstacles: 3, Steps: 128, Total Movements: 128
Agents: 1, Dirt: 17, Obstacles: 4, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 17, Obstacles: 5, Steps: 90, Total Movements: 90
Agents: 1, Dirt: 17, Obstacles: 6, Steps: 168, Total Movements: 168
Agents: 1, Dirt: 17, Obstacles: 7, Steps: 84, Total Movements: 84
Agents: 1, Dirt: 17, Obstacles: 8, Steps: 87, Total Movements: 87
Agents: 1, Dirt: 17, Obstacles: 9, Steps: 93, Total Movements: 93
Agents: 1, Dirt: 17, Obstacles: 10, Steps: 98, Total Movements: 98
Agents: 1, Dirt: 17, Obstacles: 11, Steps: 115, Total Movements: 115
Agents: 1, Dirt: 17, Obstacles: 12, Steps: 160, Total Movements: 160
Agents: 1, Dirt: 17, Obstacles: 13, Steps: 135, Total Movements: 135
Agents: 1, Dirt: 17, Obstacles: 14, Steps: 134, Total Movements: 134
Agents: 1, Dirt: 17, Obstacles: 15, Steps: 132, Total Movements: 132
Agents: 1, Dirt: 17, Obstacles: 16, Steps: 69, Total Movements: 69
Agents: 1, Dirt: 17, Obstacles: 17, Steps: 89, Total Movements: 89
Agents: 1, Dirt: 17, Obstacles: 18, Steps: 103, Total Movements: 103
Agents: 1, Dirt: 17, Obstacles: 19, Steps: 150, Total Movements: 150
Agents: 1, Dirt: 17, Obstacles: 20, Steps: 232, Total Movements: 232
Agents: 1, Dirt: 18, Obstacles: 1, Steps: 122, Total Movements: 122
Agents: 1, Dirt: 18, Obstacles: 2, Steps: 130, Total Movements: 130
Agents: 1, Dirt: 18, Obstacles: 3, Steps: 90, Total Movements: 90
Agents: 1, Dirt: 18, Obstacles: 4, Steps: 105, Total Movements: 105
Agents: 1, Dirt: 18, Obstacles: 5, Steps: 128, Total Movements: 128
Agents: 1, Dirt: 18, Obstacles: 6, Steps: 90, Total Movements: 90
Agents: 1, Dirt: 18, Obstacles: 7, Steps: 147, Total Movements: 147
Agents: 1, Dirt: 18, Obstacles: 8, Steps: 85, Total Movements: 85
Agents: 1, Dirt: 18, Obstacles: 9, Steps: 104, Total Movements: 104
